disease	dataset	gwas_n	model	study
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Adipose_Subcutaneous
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Adipose_Visceral_Omentum
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Adrenal_Gland
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Artery_Aorta
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Artery_Coronary
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Artery_Tibial
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Amygdala
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Anterior_cingulate_cortex_BA24
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Caudate_basal_ganglia
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Cerebellar_Hemisphere
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Cerebellum
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Cortex
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Frontal_Cortex_BA9
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Hippocampus
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Hypothalamus
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Nucleus_accumbens_basal_ganglia
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Putamen_basal_ganglia
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Spinal_cord_cervical_c-1
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Brain_Substantia_nigra
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Breast_Mammary_Tissue
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Cells_Cultured_fibroblasts
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Cells_EBV-transformed_lymphocytes
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Colon_Sigmoid
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Colon_Transverse
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Esophagus_Gastroesophageal_Junction
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Esophagus_Mucosa
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Esophagus_Muscularis
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Heart_Atrial_Appendage
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Heart_Left_Ventricle
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Kidney_Cortex
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Liver
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Lung
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Minor_Salivary_Gland
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Muscle_Skeletal
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Nerve_Tibial
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Ovary
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Pancreas
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Pituitary
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Prostate
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Skin_Not_Sun_Exposed_Suprapubic
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Skin_Sun_Exposed_Lower_leg
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Small_Intestine_Terminal_Ileum
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Spleen
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Stomach
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Testis
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Thyroid
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Uterus
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Vagina
IBD	ebi-a-GCST004131	59957	predixcan_mashr_eqtl	mashr_Whole_Blood
