facs.batch.date,facs.sorting.batch,run.sample.id,sample.id,donor.id.tag,tissue.type,cd45.cell.count,mye.cell.percent,nk.cell.percent,b.cell.percent,cd4.cell.percent,cd8.cell.percent,dn.cell.percent
11/11/2020,A,1,1582_CT,1582,CT,106655,10.4,3.68,21.4,43,15.3,3.3
11/11/2020,A,2,1589_CT,1589,CT,71014,7.21,5.53,44.3,27.1,12.3,1.32
11/11/2020,A,3,1605_CT,1605,CT,121486,7.34,0.49,10.9,65.6,12.4,0.92
11/11/2020,A,4,1606_CT,1606,CT,137059,23.7,38.3,0.31,23.6,9.89,1.3
11/11/2020,A,5,1611_CT,1611,CT,14476,18.7,3.92,10.6,33.1,27.3,2.47
11/11/2020,A,6,1615_CT,1615,CT,32724,9.39,4.83,11.2,40.5,27.3,2.87
11/11/2020,A,7,1616_CT,1616,CT,64503,11.7,1.41,34.1,32,15.5,1.59
11/11/2020,A,8,1618_CT,1618,CT,10174,36.5,2.89,18.1,18.4,15.3,1.62
11/11/2020,A,9,1620_CT,1620,CT,29216,10.1,4.44,23.9,27.2,27.1,3.48
11/11/2020,A,10,1624_CT,1624,CT,1023,48,2.15,9.09,10.9,11,2.05
12/8/2020,B,1,1582_CL,1582,CL,116961,16.6,13.4,1.16,47.1,11.7,7.79
12/8/2020,B,2,1589_CL,1589,CL,78707,20.9,20.3,3.25,32.5,16.4,1.44
12/8/2020,B,3,1605_CL,1605,CL,37934,35.2,8.7,0.93,29.7,16.6,2.87
12/8/2020,B,4,1606_CL,1606,CL,69963,31.7,5.64,0.68,29.3,28.9,0.97
12/8/2020,B,5,1611_CL,1611,CL,29728,25.2,16.6,1.85,26.9,22,1.75
12/8/2020,B,6,1615_CL,1615,CL,19596,23.7,18.7,4.1,27.2,19.3,2.46
12/8/2020,B,7,1616_CL,1616,CL,45797,25.8,10.6,0.74,46.9,9.65,2.02
12/8/2020,B,8,1618_CL,1618,CL,48374,34.9,8.11,2.21,27.3,19,1.56
12/8/2020,B,9,1620_CL,1620,CL,26588,34.2,23.4,2.59,16.4,17.3,1.56
12/8/2020,B,10,1624_CL,1624,CL,54586,20.2,6.58,1.97,46.2,18.9,1.08
