Sample_ID,plate.id,index
R24B_Hu_1_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",A11
R24B_Hu_2A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",A12
R24B_Hu_2B_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",B1
R24B_Hu_3_NKB_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",B2
R24B_Hu_4_MYE_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",B3
R24B_Hu_5A_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",B4
R24B_Hu_6A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",B5
R24B_Hu_6B_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",B6
CoVi30_Hu_CMV_CD4_9D_TCR,"PN-1000215: Dual Index Kit TT, Set A",H7
CoVi30_Hu_EBV_CD4_9D_TCR,"PN-1000215: Dual Index Kit TT, Set A",H8
CoVi30_Hu_HIV_CD4_7D_TCR,"PN-1000215: Dual Index Kit TT, Set A",H9
CoVi30_Hu_EBV_CD4_9D_CITE,"PN-1000250: Dual Index Kit TN, Set A",B8
CoVi30_Hu_HIV_CD4_7D_CITE,"PN-1000250: Dual Index Kit TN, Set A",B9
CoVi30_Hu_CMV_CD4_9D_Gex,"PN-1000215: Dual Index Kit TT, Set A",H4
CoVi30_Hu_EBV_CD4_9D_Gex,"PN-1000215: Dual Index Kit TT, Set A",H5
CoVi30_Hu_HIV_CD4_7D_Gex,"PN-1000215: Dual Index Kit TT, Set A",H6
CoVi30_Hu_CMV_CD4_9D_CITE,"PN-1000250: Dual Index Kit TN, Set A",B7
JuPa01_Mo_WT_CD8_3H_CITE,"PN-1000242: Dual Index Kit NT, Set A",A1
JuPa01_Mo_WT_CD8_3H_Gex,"PN-1000215: Dual Index Kit TT, Set A",H10
JuPa01_Mo_KO_CD8_3H_Gex,"PN-1000215: Dual Index Kit TT, Set A",H11
JuPa02_Mo_WT_CD8_3H_Gex,"PN-1000215: Dual Index Kit TT, Set A",A2
JuPa02_Mo_KO_CD8_3H_Gex,"PN-1000215: Dual Index Kit TT, Set A",A1
JuPa01_Mo_KO_CD8_3H_CITE,"PN-1000242: Dual Index Kit NT, Set A",B1
JuPa02_Mo_WT_CD8_3H_CITE,"PN-1000242: Dual Index Kit NT, Set A",C1
JuPa02_Mo_KO_CD8_3H_CITE,"PN-1000242: Dual Index Kit NT, Set A",D1
VST001_Hu_Visium_Tumor_A1_VIS,"PN-1000215: Dual Index Kit TT, Set A",G3
VST001_Hu_Visium_Tumor_B2_VIS,"PN-1000215: Dual Index Kit TT, Set A",G4
VST001_Hu_Visium_Tumor_C3_VIS,"PN-1000215: Dual Index Kit TT, Set A",G5
VST001_Hu_Visium_Tumor_D4_VIS,"PN-1000215: Dual Index Kit TT, Set A",G6
