Sample_ID,plate.id,index
R24B_Hu_1_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",D11
R24B_Hu_2A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",D12
R24B_Hu_2B_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",D3
R24B_Hu_3_NKB_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",D4
R24B_Hu_4_MYE_10D_Gex,"PN-1000215: Dual Index Kit TT, Set A",D5
R24B_Hu_5A_CD4_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",D6
R24B_Hu_6A_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",D7
R24B_Hu_6B_CD8_5D_Gex,"PN-1000215: Dual Index Kit TT, Set A",D8
R24B_Hu_1_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",E11
R24B_Hu_2A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",F12
R24B_Hu_2B_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",G11
R24B_Hu_3_NKB_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",H11
R24B_Hu_4_MYE_10D_CITE,"PN-1000250: Dual Index Kit TN, Set A",A12
R24B_Hu_5A_CD4_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",B12
R24B_Hu_6A_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",G12
R24B_Hu_6B_CD8_5D_CITE,"PN-1000250: Dual Index Kit TN, Set A",H12
R24B_Hu_1_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",F3
R24B_Hu_2A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",F4
R24B_Hu_2B_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",F5
R24B_Hu_5A_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",F6
R24B_Hu_6A_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",F7
R24B_Hu_6B_CD8_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",F8
R24_Cancer_Hu_5_CD4_4D_TCR,"PN-1000215: Dual Index Kit TT, Set A",E10
R24_Cancer_Hu_6_CD8_A_4D_TCR,"PN-1000215: Dual Index Kit TT, Set A",E11
R24_Cancer_Hu_6_CD8_B_4D_TCR,"PN-1000215: Dual Index Kit TT, Set A",E12
R24_Cancer_Hu_1_CD4_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",E7
R24_Cancer_Hu_2_CD8_A_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",E8
R24_Cancer_Hu_2_CD8_B_5D_TCR,"PN-1000215: Dual Index Kit TT, Set A",E9
