library_id,molecule_h5,hto.tag,chrom.batch.tag,seq.batch.tag,lane.tag
R24-Cancer-B_Hu_CD4_1A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/01-02-2021/count/R24_RunB/R24B_Hu_1_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/01-02-2021/R24_RunB/R24B_Hu_1_CD4_5D_CITE/R24B_Hu_1_CD4_5D_CITE_04-06-2021_100umis_thold/general_reports/ClassificationPerCell.csv,B,2,Hu;CD4;CD4.B.1A;5D;normal.lung
R24-Cancer-B_Hu_CD4_5A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/01-02-2021/count/R24_RunB/R24B_Hu_5A_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/01-02-2021/R24_RunB/R24B_Hu_5A_CD4_5D_CITE/R24B_Hu_5A_CD4_5D_CITE_04-06-2021_100umis_thold/general_reports/ClassificationPerCell.csv,B,2,Hu;CD4;CD4.B.5A;5D;normal.lung
R24-Cancer-D_Hu_CD4_1A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/04-17-2021/count/R24_D/R24D_Hu_1_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/04-17-2021/R24_D/R24D_Hu_1_CD4_5D_CITE/R24D_Hu_1_CD4_5D_CITE_06-11-2021_100umis_thold/general_reports/ClassificationPerCell.csv,D,4,Hu;CD4;CD4.D.1A;5D;normal.lung
R24-Cancer-D_Hu_CD4_5A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/04-17-2021/count/R24_D/R24D_Hu_5A_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/04-17-2021/R24_D/R24D_Hu_5A_CD4_5D_CITE/R24D_Hu_5A_CD4_5D_CITE_06-11-2021_100umis_thold/general_reports/ClassificationPerCell.csv,D,4,Hu;CD4;CD4.D.5A;5D;normal.lung
R24-Cancer-F_Hu_CD4_1A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-14-2021/count/R24_F/R24F_Hu_1_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/05-22-2021/R24_F/R24F_Hu_1_CD4_5D_CITE/R24F_Hu_1_CD4_5D_CITE_06-11-2021_100umis_thold/general_reports/ClassificationPerCell.csv,F,6;10,Hu;CD4;CD4.F.1A;5D;normal.lung
R24-Cancer-F_Hu_CD4_5A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-14-2021/count/R24_F/R24F_Hu_5_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/05-22-2021/R24_F/R24F_Hu_5_CD4_5D_CITE/R24F_Hu_5_CD4_5D_CITE_06-11-2021_100umis_thold/general_reports/ClassificationPerCell.csv,F,6;10,Hu;CD4;CD4.F.5A;5D;normal.lung
R24-Cancer-H_Hu_CD4_1A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-14-2021/count/R24_H/R24H_Hu_1_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/06-10-2021/R24_H/R24H_Hu_1_CD4_5D_CITE/R24H_Hu_1_CD4_5D_CITE_06-17-2021_100umis_thold/general_reports/ClassificationPerCell.csv,H,7;10,Hu;CD4;CD4.H.1A;5D;normal.lung
R24-Cancer-H_Hu_CD4_5A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-14-2021/count/R24_H/R24H_Hu_5_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/06-10-2021/R24_H/R24H_Hu_5_CD4_5D_CITE/R24H_Hu_5_CD4_5D_CITE_06-17-2021_100umis_thold/general_reports/ClassificationPerCell.csv,H,7;10,Hu;CD4;CD4.H.5A;5D;normal.lung
R24-Cancer-J_Hu_CD4_1A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/02-18-2022/count/R24_J/R24J_Hu_1A_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/06-12-2021/R24_J/R24J_Hu_1A_CD4_5D_CITE/R24J_Hu_1A_CD4_5D_CITE_06-17-2021_100umis_thold/general_reports/ClassificationPerCell.csv,J,9;19,Hu;CD4;CD4.J.1A;5D;normal.lung
R24-Cancer-J_Hu_CD4_1B_4D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/06-12-2021/count/R24_J/R24J_Hu_1B_CD4_4D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/06-12-2021/R24_J/R24J_Hu_1B_CD4_4D_CITE/R24J_Hu_1B_CD4_4D_CITE_06-17-2021_100umis_thold/general_reports/ClassificationPerCell.csv,J,9,Hu;CD4;CD4.J.1B;4D;normal.lung
