"gs_id","gs_pmid","gs_name","name","gs_description","ensembl_gene","gene_symbol","excel_gene_symbol","entrez_gene","ensembl_in_ref","symbol_in_ref"
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000165029","ABCA1","'ABCA1",19,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000197150","ABCB8","'ABCB8",11194,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000167315","ACAA2","'ACAA2",10449,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000115361","ACADL","'ACADL",33,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000117054","ACADM","'ACADM",34,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000122971","ACADS","'ACADS",35,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000131473","ACLY","'ACLY",47,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000100412","ACO2","'ACO2",50,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000161533","ACOX1","'ACOX1",51,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000174233","ADCY6","'ADCY6",112,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000182035","ADIG","'ADIG",149685,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000181092","ADIPOQ","'ADIPOQ",9370,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000006831","ADIPOR2","'ADIPOR2",79602,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000285070","ADIPOR2","'ADIPOR2",79602,FALSE,TRUE
